job,item,tube_type,selected_machine,machines,calculated_setup_time,tool,setuptime_material,setuptime_coil,duration_machine,duration_manual,shift,latest_start,calculated_start,calculated_end,planned_start,planned_end,final_start,final_end,setup_time,status,jobStartDelay,jobEndDelay,start,end
92021169559,60PAP1840,PAP,1533,"1531,1532,1533,1543",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 03:21:24.600000,0 days 02:15:09,W01S3,2022-05-31 01:54:10,,,,,2022-03-04 11:14:28,2022-03-04 14:35:52,0 days 00:17:00,JobStatus.UNPLANNED,7038868.0,0,2021-12-13 00:00:00,2022-05-31 08:54:00
92021377022,60PAP1840,PAP,1532,"1531,1532,1533,1543",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 03:21:23.400000,0 days 00:58:03.600000,W01S3,2022-05-31 01:54:13,,,,,2022-03-04 09:13:19,2022-03-04 12:34:42,0 days 00:17:00,JobStatus.UNPLANNED,3143599.0,0,2022-01-27 00:00:00,2022-05-31 08:54:00
92021955585,60PAP015,PAP,1532,"1531,1532,1533,1543",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 03:19:07.200000,0 days 03:19:07.200000,W01S3,2022-05-23 01:58:45,,,,,2022-03-04 16:11:26,2022-03-04 19:30:33,0 days 00:17:00,JobStatus.UNPLANNED,9735086.0,0,2021-11-12 00:00:00,2022-05-23 08:54:00
92021169562,60PAP1870,PAP,1533,"1531,1532,1533,1543",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 03:18:42.600000,0 days 02:13:48,W01S3,2022-05-31 01:59:34,,,,,2022-03-04 14:53:19,2022-03-04 18:12:01,0 days 00:17:00,JobStatus.UNPLANNED,6965599.0,0,2021-12-14 00:00:00,2022-05-31 08:54:00
92021956488,90PAPK003,PAPK,1531,1531,,A0 001,0 days 00:15:00,0 days 00:02:00,0 days 03:18:35.400000,0 days 03:18:35.400000,W01S3,2022-05-24 01:59:49,,,,,2022-03-07 16:49:19,2022-03-07 20:07:54,0 days 00:17:00,JobStatus.UNPLANNED,10514959.0,0,2021-11-06 00:00:00,2022-05-24 08:54:00
92021377025,60PAP1870,PAP,1543,"1531,1532,1533,1543",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 03:16:40.800000,0 days 00:57:31.200000,W01S3,2022-05-31 02:03:38,,,,,2022-03-04 16:17:19,2022-03-04 19:33:59,0 days 00:17:00,JobStatus.UNPLANNED,3082639.0,0,2022-01-28 00:00:00,2022-05-31 08:54:00
92021160069,90PAPK003,PAK,1531,1531,,A0 001,0 days 00:15:00,0 days 00:02:00,0 days 03:12:33.600000,0 days 03:12:33.600000,W01S3,2022-05-24 02:11:52,,,,,2022-03-07 20:25:19,2022-03-08 07:37:52,0 days 00:17:00,JobStatus.UNPLANNED,8540719.0,0,2021-11-29 00:00:00,2022-05-24 08:54:00
92021730275,50AA1500,AA,1535,"1531,1532,1533,1535,1536,1537",,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 03:10:54,0 days 01:06:06,W01S3,2022-05-12 14:10:12,,,,,2022-03-03 21:29:19,2022-03-04 08:40:13,0 days 00:17:00,JobStatus.UNPLANNED,12086959.0,0,2021-10-15 00:00:00,2022-05-12 20:49:00
92021169505,55PAP1095,PAP,1535,"1531,1532,1533,1535,1536,1537,1543",,A0 012,0 days 00:15:00,0 days 00:02:00,0 days 03:04:21,0 days 01:29:15,W01S3,2022-05-31 02:28:18,,,,,2022-03-04 08:57:19,2022-03-04 12:01:40,0 days 00:17:00,JobStatus.UNPLANNED,6857839.0,0,2021-12-15 00:00:00,2022-05-31 08:54:00
92021376959,55PAP1095,PAP,1535,"1531,1532,1533,1535,1536,1537,1543",,A0 012,0 days 00:15:00,0 days 00:02:00,0 days 03:04:21,0 days 00:39:42,W01S3,2022-05-31 02:28:18,,,,,2022-03-04 12:19:19,2022-03-04 15:23:40,0 days 00:17:00,JobStatus.UNPLANNED,2981959.0,0,2022-01-29 00:00:00,2022-05-31 08:54:00
92021169958,75APK4200,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 03:03:29.400000,0 days 03:03:29.400000,W01S3,2022-05-24 20:30:01,,,,,2022-03-08 07:55:19,2022-03-08 10:58:48,0 days 00:17:00,JobStatus.UNPLANNED,7890919.0,0,2021-12-07 00:00:00,2022-05-25 02:54:00
